job_title,job_category,salary,employee_residence,experience_level,employment_type,work_setting
Data Science Lead,Data Science and Research,142200,United States,Senior,Full-time,In-person
Business Data Analyst,Data Analysis,17000,Armenia,Mid-level,Full-time,Remote
Data Engineer,Data Engineering,181500,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,112200,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,204500,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,142200,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,180000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,162000,United States,Senior,Full-time,In-person
Machine Learning Researcher,Machine Learning and AI,150000,United States,Mid-level,Full-time,Remote
Machine Learning Researcher,Machine Learning and AI,100000,United States,Mid-level,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,250500,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,166600,United States,Senior,Full-time,In-person
Head of Data,Leadership and Management,247500,United States,Executive,Full-time,In-person
Head of Data,Leadership and Management,172200,United States,Executive,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,247500,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,172200,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,223290,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,131310,United States,Senior,Full-time,In-person
Staff Data Analyst,Data Analysis,44753,Canada,Entry-level,Contract,Hybrid
AI Engineer,Machine Learning and AI,35000,Croatia,Entry-level,Full-time,Remote
AI Developer,Machine Learning and AI,53984,Italy,Senior,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,226600,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,140100,United States,Senior,Full-time,In-person
Machine Learning Scientist,Machine Learning and AI,204500,Canada,Senior,Full-time,In-person
Machine Learning Scientist,Machine Learning and AI,142200,Canada,Senior,Full-time,In-person
Research Scientist,Data Science and Research,220000,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,140000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,204600,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,126500,United States,Senior,Full-time,In-person
Research Analyst,Data Science and Research,135960,United States,Senior,Full-time,In-person
Research Analyst,Data Science and Research,70960,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,128750,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,86250,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,110736,United Kingdom,Senior,Full-time,In-person
Data Engineer,Data Engineering,92280,United Kingdom,Senior,Full-time,In-person
Data Engineer,Data Engineering,131000,Colombia,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,88000,Colombia,Mid-level,Full-time,In-person
Data Analyst,Data Analysis,185100,United States,Senior,Full-time,Remote
Data Analyst,Data Analysis,133300,United States,Senior,Full-time,Remote
Research Engineer,Data Science and Research,180000,United States,Senior,Full-time,In-person
Research Engineer,Data Science and Research,150000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,90000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,75000,United States,Senior,Full-time,In-person
AI Developer,Machine Learning and AI,130000,United States,Entry-level,Full-time,Remote
Data Analyst,Data Analysis,73824,United Kingdom,Senior,Full-time,In-person
Data Analyst,Data Analysis,61520,United Kingdom,Senior,Full-time,In-person
Data Manager,Leadership and Management,115500,United States,Mid-level,Full-time,In-person
Data Manager,Leadership and Management,73500,United States,Mid-level,Full-time,In-person
ML Engineer,Machine Learning and AI,125000,United States,Mid-level,Full-time,In-person
ML Engineer,Machine Learning and AI,85000,United States,Mid-level,Full-time,In-person
Data Manager,Leadership and Management,80000,United States,Mid-level,Full-time,In-person
Data Manager,Leadership and Management,70000,United States,Mid-level,Full-time,In-person
Data Scientist,Data Science and Research,260000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,160000,United States,Senior,Full-time,In-person
Data Manager,Leadership and Management,105000,United States,Senior,Full-time,In-person
Data Manager,Leadership and Management,80000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,150000,Canada,Senior,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,95000,Canada,Senior,Full-time,Remote
Data Engineer,Data Engineering,204750,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,153550,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,150000,United States,Senior,Full-time,Remote
Data Analyst,Data Analysis,120000,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,150000,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,110000,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,200000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,141000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,230000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,175000,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,150000,United States,Senior,Full-time,Remote
Research Scientist,Data Science and Research,120000,United States,Senior,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,207611,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,127876,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,175000,United States,Senior,Full-time,Remote
Data Analyst,Data Analysis,135000,United States,Senior,Full-time,Remote
Data Analyst,Data Analysis,100000,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,75000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,170000,United States,Mid-level,Full-time,Remote
Data Scientist,Data Science and Research,144500,United States,Mid-level,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,204500,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,142200,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,255360,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,212800,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,170000,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,100000,United States,Senior,Full-time,Remote
Data Analyst,Data Analysis,106400,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,81800,United States,Senior,Full-time,In-person
Data Developer,Leadership and Management,130000,United States,Mid-level,Full-time,Remote
Data Developer,Leadership and Management,69139,United States,Mid-level,Full-time,Remote
Business Intelligence Analyst,BI and Visualization,100631,Canada,Mid-level,Full-time,In-person
Business Intelligence Analyst,BI and Visualization,80505,Canada,Mid-level,Full-time,In-person
Data Infrastructure Engineer,Data Engineering,300105,United States,Senior,Full-time,In-person
Data Infrastructure Engineer,Data Engineering,151090,United States,Senior,Full-time,In-person
Machine Learning Software Engineer,Machine Learning and AI,217600,United States,Mid-level,Full-time,In-person
Machine Learning Software Engineer,Machine Learning and AI,145000,United States,Mid-level,Full-time,In-person
Data Scientist,Data Science and Research,79976,United Kingdom,Mid-level,Full-time,Remote
Data Scientist,Data Science and Research,55368,United Kingdom,Mid-level,Full-time,Remote
Data Engineer,Data Engineering,129000,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,110000,United States,Senior,Full-time,Remote
Research Analyst,Data Science and Research,185000,United States,Senior,Full-time,In-person
Research Analyst,Data Science and Research,50000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,210000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,108000,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,80000,United States,Mid-level,Full-time,In-person
Data Analyst,Data Analysis,59500,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,250000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,173400,United States,Senior,Full-time,In-person
Data Architect,Data Architecture and Modeling,215000,United States,Senior,Full-time,Remote
Data Architect,Data Architecture and Modeling,153000,United States,Senior,Full-time,Remote
Machine Learning Scientist,Machine Learning and AI,210398,United Kingdom,Senior,Full-time,In-person
Machine Learning Scientist,Machine Learning and AI,147648,United Kingdom,Senior,Full-time,In-person
Data Analyst,Data Analysis,105000,United States,Senior,Full-time,Remote
Data Analyst,Data Analysis,75000,United States,Senior,Full-time,Remote
Machine Learning Operations Engineer,Machine Learning and AI,60000,Thailand,Senior,Full-time,Remote
AI Scientist,Machine Learning and AI,54000,South Korea,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,202000,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,132000,United States,Senior,Full-time,Remote
Data Scientist,Data Science and Research,185900,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,129300,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,204500,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,142200,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,73824,United Kingdom,Mid-level,Full-time,In-person
Data Analyst,Data Analysis,61520,United Kingdom,Mid-level,Full-time,In-person
Data Scientist,Data Science and Research,316000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,202000,United States,Senior,Full-time,In-person
AI Research Engineer,Data Science and Research,81206,United Kingdom,Mid-level,Full-time,In-person
Head of Machine Learning,Machine Learning and AI,330000,United States,Executive,Full-time,In-person
Head of Machine Learning,Machine Learning and AI,188000,United States,Executive,Full-time,In-person
BI Analyst,BI and Visualization,140000,United States,Mid-level,Full-time,In-person
BI Analyst,BI and Visualization,110000,United States,Mid-level,Full-time,In-person
Machine Learning Researcher,Machine Learning and AI,190000,United States,Senior,Full-time,Remote
Machine Learning Researcher,Machine Learning and AI,170000,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,180000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,162000,United States,Senior,Full-time,In-person
Research Analyst,Data Science and Research,150000,United States,Senior,Full-time,In-person
Research Analyst,Data Science and Research,125000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,140000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,105000,United States,Senior,Full-time,In-person
Data Specialist,Data Management and Strategy,90000,United States,Mid-level,Full-time,Remote
Data Specialist,Data Management and Strategy,73000,United States,Mid-level,Full-time,Remote
Data Scientist,Data Science and Research,145000,United States,Mid-level,Full-time,Remote
Data Scientist,Data Science and Research,115000,United States,Mid-level,Full-time,Remote
Data Manager,Leadership and Management,145000,United States,Senior,Full-time,In-person
Data Manager,Leadership and Management,130000,United States,Senior,Full-time,In-person
Decision Scientist,Data Science and Research,204500,United States,Mid-level,Full-time,In-person
Decision Scientist,Data Science and Research,142200,United States,Mid-level,Full-time,In-person
Business Intelligence Analyst,BI and Visualization,150000,United States,Mid-level,Full-time,Remote
Business Intelligence Analyst,BI and Visualization,135000,United States,Mid-level,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,247500,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,172200,United States,Senior,Full-time,In-person
Head of Data,Leadership and Management,329500,United States,Executive,Full-time,Remote
Head of Data,Leadership and Management,269600,United States,Executive,Full-time,Remote
Business Intelligence Engineer,BI and Visualization,225000,United States,Senior,Full-time,In-person
Business Intelligence Engineer,BI and Visualization,156400,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,190000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,170000,United States,Senior,Full-time,In-person
Data Science Lead,Data Science and Research,185900,United States,Mid-level,Full-time,In-person
Data Science Lead,Data Science and Research,129300,United States,Mid-level,Full-time,In-person
Data Analyst,Data Analysis,80000,United States,Mid-level,Full-time,Remote
Data Analyst,Data Analysis,70000,United States,Mid-level,Full-time,Remote
Data Scientist,Data Science and Research,204500,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,138900,United States,Senior,Full-time,In-person
Machine Learning Scientist,Machine Learning and AI,204500,Canada,Senior,Full-time,In-person
Machine Learning Scientist,Machine Learning and AI,142200,Canada,Senior,Full-time,In-person
Data Manager,Leadership and Management,115500,United States,Mid-level,Full-time,In-person
Data Manager,Leadership and Management,73500,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,146000,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,97000,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,147100,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,90700,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,257000,United States,Senior,Full-time,Remote
Data Scientist,Data Science and Research,197000,United States,Senior,Full-time,Remote
Business Intelligence Engineer,BI and Visualization,140000,United States,Senior,Full-time,Remote
Business Intelligence Engineer,BI and Visualization,120000,United States,Senior,Full-time,Remote
Data Analyst,Data Analysis,85000,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,79000,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,93919,United States,Senior,Full-time,Remote
Data Analyst,Data Analysis,51962,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,155000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,84800,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,250500,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,166600,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,135344,United Kingdom,Mid-level,Full-time,In-person
Data Scientist,Data Science and Research,98432,United Kingdom,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,174500,United States,Executive,Full-time,In-person
Data Engineer,Data Engineering,113000,United States,Executive,Full-time,In-person
Data Engineer,Data Engineering,135000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,90000,United States,Senior,Full-time,In-person
Head of Data,Leadership and Management,246080,United Kingdom,Executive,Full-time,In-person
Head of Data,Leadership and Management,184560,United Kingdom,Executive,Full-time,In-person
Data Engineer,Data Engineering,135000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,90000,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,53120,Estonia,Mid-level,Full-time,In-person
Data Analyst,Data Analysis,33686,Estonia,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,260000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,225000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,226600,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,140100,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,204600,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,126500,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,340000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,212000,United States,Senior,Full-time,In-person
Analytics Engineer,Leadership and Management,213600,United States,Senior,Full-time,In-person
Analytics Engineer,Leadership and Management,142400,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,153600,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,106800,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,309000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,142000,United States,Senior,Full-time,In-person
ML Engineer,Machine Learning and AI,125000,United States,Mid-level,Full-time,Remote
ML Engineer,Machine Learning and AI,85000,United States,Mid-level,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,226600,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,140100,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,303050,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,202350,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,143000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,95000,United States,Senior,Full-time,In-person
Business Intelligence Engineer,BI and Visualization,185000,United States,Senior,Full-time,In-person
Business Intelligence Engineer,BI and Visualization,79600,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,207900,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,158400,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,303050,United States,Senior,Full-time,In-person
Research Scientist,Data Science and Research,202350,United States,Senior,Full-time,In-person
Data Infrastructure Engineer,Data Engineering,385000,United States,Senior,Full-time,In-person
Data Infrastructure Engineer,Data Engineering,200000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,241300,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,211949,United States,Senior,Full-time,In-person
Data Strategy Manager,Data Management and Strategy,115000,United States,Senior,Full-time,Remote
Data Strategy Manager,Data Management and Strategy,90000,United States,Senior,Full-time,Remote
Data Scientist,Data Science and Research,172200,United States,Mid-level,Full-time,Remote
Data Scientist,Data Science and Research,131200,United States,Mid-level,Full-time,Remote
Data Scientist,Data Science and Research,105000,United States,Entry-level,Full-time,In-person
Data Scientist,Data Science and Research,70000,United States,Entry-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,253000,United States,Senior,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,123800,United States,Senior,Full-time,Remote
Data Scientist,Data Science and Research,240000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,142500,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,34924,Turkey,Entry-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,330000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,204000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,180000,United States,Executive,Full-time,Remote
Machine Learning Engineer,Machine Learning and AI,160000,United States,Executive,Full-time,Remote
Business Intelligence Analyst,BI and Visualization,193600,United States,Senior,Full-time,In-person
Business Intelligence Analyst,BI and Visualization,130838,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,225500,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,139400,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,143000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,95000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,328133,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,218755,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,250830,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,143370,United States,Senior,Full-time,In-person
Analytics Engineer,Leadership and Management,260000,United States,Senior,Full-time,In-person
Analytics Engineer,Leadership and Management,160000,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,203500,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,166500,United States,Senior,Full-time,In-person
Data Scientist,Data Science and Research,180000,United States,Mid-level,Full-time,In-person
Data Scientist,Data Science and Research,162000,United States,Mid-level,Full-time,In-person
Data Engineer,Data Engineering,145000,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,115000,United States,Senior,Full-time,Remote
Data Analyst,Data Analysis,180400,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,138800,United States,Senior,Full-time,In-person
Research Analyst,Data Science and Research,148350,United States,Senior,Full-time,In-person
Research Analyst,Data Science and Research,87400,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,87500,United States,Mid-level,Full-time,Remote
Data Analyst,Data Analysis,62500,United States,Mid-level,Full-time,Remote
Data Science Consultant,Data Science and Research,157550,United States,Senior,Full-time,In-person
Data Science Consultant,Data Science and Research,104650,United States,Senior,Full-time,In-person
Data Manager,Leadership and Management,115500,United States,Mid-level,Full-time,In-person
Data Manager,Leadership and Management,73500,United States,Mid-level,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,309000,United States,Senior,Full-time,In-person
Machine Learning Engineer,Machine Learning and AI,142000,United States,Senior,Full-time,In-person
Data Engineer,Data Engineering,139500,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,118575,United States,Senior,Full-time,Remote
Data Analyst,Data Analysis,129150,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,98400,United States,Senior,Full-time,In-person
Data Analyst,Data Analysis,192500,United States,Senior,Full-time,Remote
Data Analyst,Data Analysis,140000,United States,Senior,Full-time,Remote
Data Engineer,Data Engineering,67672,United Kingdom,Mid-level,Full-time,Remote
Data Engineer,Data Engineering,67672,United Kingdom,Mid-level,Full-time,Remote
